Frame,RMSE
0,0.02205
1,0.01999
2,0.01821
3,0.01701
4,0.01626
5,0.01559
6,0.01563
7,0.01538
8,0.01506
9,0.01495
10,0.01489
11,0.01480
12,0.01479
13,0.01483
14,0.01474
15,0.01473
16,0.01459
17,0.01474
18,0.01468
19,0.01470
20,0.01468
21,0.01467
22,0.01479
23,0.01476
24,0.01465
25,0.01472
26,0.01470
27,0.01470
28,0.01479
29,0.01474
30,0.01466
31,0.01473
