Frame,RMSE
0,0.17948
1,0.17708
2,0.17613
3,0.17516
4,0.17476
5,0.17431
6,0.17441
7,0.17402
8,0.17388
9,0.17380
10,0.17365
11,0.17369
12,0.17377
13,0.17366
14,0.17358
15,0.17363
16,0.17346
17,0.17363
18,0.17367
19,0.17358
20,0.17349
21,0.17362
22,0.17347
23,0.17360
24,0.17363
25,0.17356
26,0.17346
27,0.17358
28,0.17348
29,0.17359
30,0.17364
31,0.17357
