Frame,RMSE
0,0.02863
1,0.02739
2,0.02648
3,0.02587
4,0.02544
5,0.02522
6,0.02522
7,0.02511
8,0.02499
9,0.02495
10,0.02488
11,0.02491
12,0.02488
13,0.02486
14,0.02488
15,0.02489
16,0.02472
17,0.02488
18,0.02485
19,0.02485
20,0.02487
21,0.02487
22,0.02485
23,0.02491
24,0.02482
25,0.02483
26,0.02487
27,0.02487
28,0.02485
29,0.02488
30,0.02483
31,0.02485
