Frame,RMSE
0,0.01296
1,0.01295
2,0.01282
3,0.01274
4,0.01270
5,0.01262
6,0.01266
7,0.01260
8,0.01257
9,0.01258
10,0.01254
11,0.01255
12,0.01256
13,0.01255
14,0.01256
15,0.01255
16,0.01232
17,0.01256
18,0.01255
19,0.01255
20,0.01258
21,0.01252
22,0.01256
23,0.01253
24,0.01253
25,0.01257
26,0.01252
27,0.01253
28,0.01252
29,0.01253
30,0.01255
31,0.01256
