Frame,RMSE
0,0.24517
1,0.20576
2,0.19229
3,0.18512
4,0.18059
5,0.17769
6,0.17585
7,0.17458
8,0.17364
9,0.17297
10,0.17252
11,0.17220
12,0.17212
13,0.17216
14,0.17202
15,0.17194
16,0.17261
17,0.17256
18,0.17229
19,0.17236
20,0.17239
21,0.17232
22,0.17234
23,0.17229
24,0.17215
25,0.17208
26,0.17192
27,0.17186
28,0.17191
29,0.17204
30,0.17195
31,0.17195
