Frame,RMSE
0,0.16140
1,0.14899
2,0.14243
3,0.14029
4,0.13867
5,0.13864
6,0.13794
7,0.13740
8,0.13699
9,0.13753
10,0.13639
11,0.13758
12,0.13804
13,0.13762
14,0.13780
15,0.13673
16,0.13630
17,0.13716
18,0.13633
19,0.13661
20,0.13708
21,0.13796
22,0.13759
23,0.13750
24,0.13707
25,0.13736
26,0.13652
27,0.13761
28,0.13788
29,0.13773
30,0.13796
31,0.13684
