Frame,RMSE
0,0.05339
1,0.05294
2,0.05257
3,0.05223
4,0.05210
5,0.05206
6,0.05204
7,0.05201
8,0.05192
9,0.05181
10,0.05181
11,0.05190
12,0.05185
13,0.05186
14,0.05185
15,0.05174
16,0.05173
17,0.05188
18,0.05183
19,0.05184
20,0.05184
21,0.05172
22,0.05179
23,0.05187
24,0.05181
25,0.05182
26,0.05180
27,0.05174
28,0.05179
29,0.05185
30,0.05183
31,0.05183
